id,ФИО,email,id преподавателей
1,Прохоров Матвей Валентинович,test@mail.ru,1;2;3
2,Беляков Герасим Протасьевич,test@mail.ru,4;5
3,Галкин Аверьян Макарович,test@mail.ru,1;2;3;4;5
4,Фокин Альфред Вадимович,test@mail.ru,1;2;3;4;5
5,Иванов Денис Дмитриевич,test@mail.ru,1;2;3;4;5
6,Доронин Вольдемар Кириллович,test@mail.ru,1;2;3;4;5
7,Князев Адриан Русланович,test@mail.ru,1;2;3;4;5
8,Романов Лаврентий Евсеевич,test@mail.ru,1;2;3;4;5
9,Сысоев Гордей Тимурович,test@mail.ru,1;2;3;4;5
10,Копылов Юстин Яковович,test@mail.ru,1;2;3;4;5
11,Суворов Осип Тимурович,test@mail.ru,1;2;3;4;5
12,Стрелков Егор Петрович,test@mail.ru,1;2;3;4;5
13,Петров Аполлон Станиславович,test@mail.ru,1;2;3;4;5
14,Баранов Тимофей Иосифович,test@mail.ru,1;2;3;4;5
15,Лаврентьев Лев Владимирович,test@mail.ru,1;2;3;4;5
